year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,325.0,9505.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,2,1,3,1,0,Spouse,25,Female,White,Married_spouse_present,2__children,No_not_in_school,1_to_3_years_of_college,,Not_in_labor_force,No_not_in_labor_force,18,44,Works_for_wages_salary,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,Same_state_countydifferent_house,0,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,287.0,8005.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,20,Female,Black_Negro,Never_married_single,No_children,No_not_in_school,Grade_12,,Employed,Yes_in_labor_force,22,61,Works_for_wages_salary,40-47_weeks,,Yes,8005.0,8005.0,0.0,0.0,0.0,0.0,0.0,211.0,,1,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),85000.0,0.0,29635.0,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,Child,4,Female,White,Never_married_single,,Yes_in_school,None_or_preschool,Other_private_1980,,,0,0,,,,,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,304.0,,0,,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),999999.0,0.0,52895.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,Child,17,Male,White,Never_married_single,,Yes_in_school,Grade_10,Public_school,Not_in_labor_force,No_not_in_labor_force,0,0,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,Same_house,0,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,185.0,7610.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,Partner_friend_visitor,25,Female,White,Never_married_single,No_children,Yes_in_school,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,17,13,Works_for_wages_salary,40-47_weeks,15-29_hours,Yes,4520.0,4505.0,0.0,0.0,0.0,0.0,0.0,119.0,,0,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,135.0,75000.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,44,Male,Black_Negro,Married_spouse_present,,No_not_in_school,Grade_12,,Unemployed,Yes_in_labor_force,20,9,Works_for_wages_salary,14-26_weeks,,Yes,57240.0,56525.0,0.0,0.0,0.0,0.0,715.0,501.0,,2,Yes,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,237.0,7760.0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,Child,7,Female,Black_Negro,Never_married_single,,Yes_in_school,None_or_preschool,Church-related_(1980),,,0,0,,,,,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,105.0,,0,,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),57500.0,0.0,25465.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,99,99,7,Sibling,17,Female,White,Never_married_single,No_children,Yes_in_school,Grade_10,Public_school,Not_in_labor_force,No_not_in_labor_force,0,0,,,,No,1655.0,0.0,0.0,0.0,1655.0,0.0,0.0,173.0,,0,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),85000.0,0.0,14510.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,73,Male,White,Married_spouse_present,,No_not_in_school,1_to_3_years_of_college,,Not_in_labor_force,No_not_in_labor_force,0,0,,,,No,14510.0,0.0,0.0,0.0,2505.0,0.0,0.0,329.0,,5,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),112500.0,0.0,2700.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,27,Female,White,Never_married_single,No_children,No_not_in_school,1_to_3_years_of_college,,Employed,Yes_in_labor_force,40,77,Self-employed,50-52_weeks,49-59_hours,Yes,2700.0,2105.0,0.0,0.0,0.0,0.0,0.0,71.0,Same_state_countydifferent_house,2,No_Service,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),999999.0,0.0,42065.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,99,99,1,Head_Householder,50,Male,White,Divorced,,Yes_in_school,Grade_5-8,Public_school,Unemployed,Yes_in_labor_force,20,8,Works_for_wages_salary,40-47_weeks,,Yes,16860.0,15605.0,0.0,0.0,0.0,0.0,0.0,501.0,Same_house,6,Yes,P
98,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,287.0,11630.0,1,2,1,1,4,0,3,3,0,3,0,0,7,0,0,1,99,99,2,Other_relatives,3,Male,White,Never_married_single,,No_not_in_school,None_or_preschool,,,,0,0,,,,,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,100.0,,0,,P
