year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,yrlastwk,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,412.0,23000.0,2,0,1,1,0,0,0,1,0,1,0,0,7,0,0,1,99,99,1,Child,14,Female,White,Never_married_single,,Yes_in_school,Grade_5-8,Public_school,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,116.0,Same_house,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),162500.0,0.0,38008.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,25,Male,White,Never_married_single,,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,48,87,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,38008.0,38000.0,0.0,0,0.0,0.0,0.0,501.0,Moved_place_not_reported,2,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,675.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,Child,5,Female,Black_Negro,Never_married_single,,Yes_in_school,Grade_1-4,Public_school,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,1.0,Moved_place_not_reported,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,725.0,23008.0,2,1,1,1,1,0,1,2,0,1,0,0,5,0,0,1,99,99,2,Child,2,Male,White,Never_married_single,,,,,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,155.0,,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),400000.0,0.0,104000.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,Child,10,Male,White,Never_married_single,,Yes_in_school,Grade_1-4,Public_school,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,501.0,Same_house,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),85000.0,0.0,17000.0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,Spouse,85,Female,White,Married_spouse_present,No_children,No_not_in_school,Grade_5-8,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,7000.0,0.0,0.0,0,7000.0,0.0,0.0,227.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,1000.0,14000.0,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,35,35,0,Parent,59,Female,White,Married_spouse_present,4,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Never_worked,No,0.0,0.0,0.0,0,0.0,0.0,0.0,144.0,Same_house,0,No_Service,P
99,Other_group_quarters,Non-institutional_GQ_(1940_1950_1990),Non-Farm,,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Other_non-relatives,30,Male,Black_Negro,Married_spouse_absent,,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Unemployed,Yes_in_labor_force,25,37,Works_for_wages_salary,,,Worked_current_yr,No,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,1000.0,10000.0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,99,99,0,Spouse,45,Male,Black_Negro,Married_spouse_present,,No_not_in_school,4+_years_of_college,Not_enrolled,Unemployed,Yes_in_labor_force,41,68,Self-employed,,,Worked_2_yrs_prior,No,0.0,0.0,0.0,0,0.0,0.0,0.0,120.0,Moved_place_not_reported,0,Yes,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,875.0,34000.0,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,Child,11,Female,White,Never_married_single,,Yes_in_school,Grade_1-4,Public_school,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,205.0,Moved_place_not_reported,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),42499.0,0.0,31000.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,Partner_friend_visitor,24,Female,White,Never_married_single,No_children,Yes_in_school,1_to_3_years_of_college,Public_school,Employed,Yes_in_labor_force,25,44,Works_for_wages_salary,50-52_weeks,15-29_hours,,Yes,16700.0,16700.0,0.0,0,0.0,0.0,0.0,259.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,137.0,7800.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,79,Female,White,Widowed,3,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,0,0,,,,Worked_more_than_10_yrs_ago,No,7800.0,0.0,0.0,0,5292.0,2508.0,0.0,131.0,Same_house,2,No_Service,P
99,Institution,Institution_(1990),Non-Farm,,999999.0,0.0,999999.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Institutional_inmates,51,Female,White,Widowed,No_children,No_not_in_school,1_to_3_years_of_college,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,41,68,Self-employed,,,Worked_2_yrs_prior,No,660.0,0.0,0.0,0,0.0,660.0,0.0,0.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,462.0,37118.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,Child,2,Male,White,Never_married_single,,,,,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,295.0,,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,625.0,14000.0,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,Child,3,Female,White,Never_married_single,,No_not_in_school,None_or_preschool,Not_enrolled,,,0,0,,,,,,0.0,999999.0,999999.0,999999,99999.0,99999.0,99999.0,111.0,,0,,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),225000.0,0.0,63000.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,1,1,5,2,0,Spouse,28,Female,White,Married_spouse_present,2__children,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,24,44,Works_for_wages_salary,50-52_weeks,15-29_hours,,Yes,20000.0,20000.0,0.0,0,0.0,0.0,0.0,501.0,Moved_place_not_reported,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999.0,575.0,45500.0,1,1,1,1,0,0,0,0,0,0,2,1,6,4,0,1,24,19,0,Parent,44,Female,White,Married_spouse_present,4,No_not_in_school,Grade_5-8,Not_enrolled,Employed,Yes_in_labor_force,23,18,Works_for_wages_salary,50-52_weeks,40_hours,,Yes,16000.0,16000.0,0.0,0,0.0,0.0,0.0,256.0,Same_house,0,No_Service,P
99,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),85000.0,0.0,31564.0,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,20,20,0,Spouse,55,Female,White,Married_spouse_present,3,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,11,11,Works_for_wages_salary,48-49_weeks,30-34_hours,,Yes,9600.0,9600.0,0.0,0,0.0,0.0,0.0,325.0,Same_house,0,No_Service,P
