total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
8,0,4,0,4,8,6,10,12,14,22.0,58.0,0.27,3.7,214.81,0.02,11.93,0.0,0,0,0,0,1,0.25,0.0,0.0,0.0,0.13,0.0,False
13,0,1,0,12,10,8,21,26,18,47.0,135.0,0.12,8.33,1125.0,0.05,62.5,2.0,1,0,0,0,2,0.17,0.0,0.0,0.0,0.15,0.0,False
20,0,12,0,8,14,12,21,34,26,55.0,179.0,0.11,9.09,1627.27,0.06,90.4,6.0,3,0,3,0,4,0.5,1.0,0.0,0.0,0.2,0.0,False
40,0,17,0,23,20,18,64,90,38,154.0,560.0,0.03,33.33,18666.67,0.19,1037.04,24.0,12,1,11,2,11,0.48,1.09,1.0,0.09,0.28,0.0,False
8,0,3,0,5,7,13,13,21,20,34.0,101.0,0.08,12.5,1262.5,0.03,70.14,4.0,2,0,1,0,3,0.6,2.0,0.0,0.0,0.38,1.0,False
10,0,2,0,8,4,5,5,10,9,15.0,32.0,0.32,3.13,100.0,0.01,5.56,2.0,1,1,1,0,2,0.25,1.0,1.0,0.5,0.2,0.0,False
9,0,1,0,8,4,5,4,11,9,15.0,32.0,0.4,2.5,80.0,0.01,4.44,2.0,1,2,0,0,2,0.25,0.0,2.0,1.0,0.22,0.0,False
24,0,5,0,19,14,9,41,55,23,96.0,301.0,0.08,12.5,3762.5,0.1,209.03,16.0,8,0,8,4,5,0.26,1.0,0.0,0.0,0.21,0.0,False
25,1,8,0,16,21,11,38,47,32,85.0,294.0,0.1,10.0,2940.0,0.1,163.33,6.0,3,3,2,1,3,0.19,1.5,3.0,1.0,0.12,0.0,True
6,0,1,0,5,3,3,3,7,6,10.0,17.0,0.67,1.49,25.37,0.01,1.41,0.0,0,2,0,0,1,0.2,0.0,2.0,2.0,0.17,0.0,False
6,0,0,0,6,5,4,7,9,9,16.0,35.0,0.36,2.78,97.22,0.01,5.4,0.0,0,0,0,0,1,0.17,0.0,0.0,0.0,0.17,0.0,False
6,0,1,0,5,6,4,7,9,10,16.0,36.0,0.43,2.33,83.72,0.01,4.65,0.0,0,0,0,0,1,0.2,0.0,0.0,0.0,0.17,0.0,False
20,0,5,0,15,14,7,24,32,21,56.0,170.0,0.17,5.88,1000.0,0.06,55.56,8.0,4,2,4,1,4,0.27,1.0,2.0,0.5,0.2,0.0,True
11,0,5,0,6,10,4,11,13,14,24.0,63.0,0.45,2.22,140.0,0.02,7.78,0.0,0,1,0,0,1,0.17,0.0,1.0,1.0,0.09,0.0,True
6,0,1,0,5,3,3,3,7,6,10.0,17.0,0.67,1.49,25.37,0.01,1.41,0.0,0,2,0,0,1,0.2,0.0,2.0,2.0,0.17,0.0,False
7,0,0,0,7,6,12,14,21,18,35.0,101.0,0.07,14.29,1442.86,0.03,80.16,2.0,1,0,0,0,2,0.29,0.0,0.0,0.0,0.29,1.0,False
10,0,1,0,9,9,11,17,29,20,46.0,137.0,0.1,10.0,1370.0,0.05,76.11,2.0,1,3,0,0,2,0.22,0.0,3.0,1.5,0.2,1.0,False
9,0,2,0,7,6,7,9,18,13,27.0,69.0,0.19,5.26,363.16,0.02,20.18,4.0,2,2,2,1,2,0.29,1.0,2.0,1.0,0.22,0.0,False
5,0,2,0,3,4,4,4,7,8,11.0,22.0,0.5,2.0,44.0,0.01,2.44,0.0,0,1,0,0,1,0.33,0.0,1.0,1.0,0.2,0.0,False
7,0,0,0,7,10,8,23,25,18,48.0,138.0,0.11,9.09,1254.55,0.05,69.7,0.0,0,4,0,0,1,0.14,0.0,4.0,4.0,0.14,0.0,False
7,0,0,0,7,9,9,22,32,18,54.0,156.0,0.09,11.11,1733.33,0.05,96.3,0.0,0,0,0,0,1,0.14,0.0,0.0,0.0,0.14,1.0,False
