group,conc,age,at.risk,binaryClass
1,0.0,22.5,2956638.0,N
1,0.0,27.5,2175046.0,N
1,0.0,32.5,1580019.0,N
1,0.0,37.5,1320637.0,N
1,0.0,42.5,1327866.0,N
1,0.0,47.5,1334769.0,N
1,0.0,52.5,1214443.0,N
1,0.0,57.5,977820.0,N
1,0.0,62.5,739460.0,N
1,0.0,67.5,520965.0,N
1,0.0,72.5,320158.0,N
1,0.0,77.5,158750.0,N
1,0.0,82.5,63236.0,N
2,10.0,22.5,1128.0,P
2,10.0,27.5,634.0,P
2,10.0,32.5,389.0,P
2,10.0,37.5,313.0,P
2,10.0,42.5,364.0,P
2,10.0,47.5,410.0,P
2,10.0,52.5,325.0,P
2,10.0,57.5,227.0,P
2,10.0,62.5,141.0,P
2,10.0,67.5,104.0,P
2,10.0,72.5,63.0,P
2,10.0,77.5,39.0,P
2,10.0,82.5,22.0,P
3,11.0,22.5,904.0,P
3,11.0,27.5,545.0,P
3,11.0,32.5,270.0,P
3,11.0,37.5,283.0,P
3,11.0,42.5,241.0,P
3,11.0,47.5,298.0,P
3,11.0,52.5,280.0,P
3,11.0,57.5,218.0,P
3,11.0,62.5,168.0,P
3,11.0,67.5,138.0,P
3,11.0,72.5,124.0,P
3,11.0,77.5,33.0,P
3,11.0,82.5,27.0,P
4,30.0,22.5,1187.0,P
4,30.0,27.5,782.0,P
4,30.0,32.5,549.0,P
4,30.0,37.5,472.0,P
4,30.0,42.5,469.0,P
4,30.0,47.5,421.0,P
4,30.0,52.5,379.0,P
4,30.0,57.5,323.0,P
4,30.0,62.5,312.0,P
4,30.0,67.5,232.0,P
4,30.0,72.5,157.0,P
4,30.0,77.5,60.0,P
4,30.0,82.5,45.0,P
5,32.0,22.5,1792.0,P
5,32.0,27.5,1217.0,P
5,32.0,32.5,854.0,P
5,32.0,37.5,745.0,P
5,32.0,42.5,733.0,P
5,32.0,47.5,671.0,P
5,32.0,52.5,570.0,P
5,32.0,57.5,463.0,P
5,32.0,62.5,317.0,P
5,32.0,67.5,220.0,P
5,32.0,72.5,159.0,P
5,32.0,77.5,59.0,P
5,32.0,82.5,51.0,P
6,32.0,22.5,584.0,P
6,32.0,27.5,393.0,P
6,32.0,32.5,237.0,P
6,32.0,37.5,222.0,P
6,32.0,42.5,232.0,P
6,32.0,47.5,216.0,P
6,32.0,52.5,194.0,P
6,32.0,57.5,162.0,P
6,32.0,62.5,173.0,P
6,32.0,67.5,122.0,P
6,32.0,72.5,88.0,P
6,32.0,77.5,38.0,P
6,32.0,82.5,28.0,P
7,42.0,22.5,2188.0,P
7,42.0,27.5,1509.0,P
7,42.0,32.5,1065.0,P
7,42.0,37.5,1036.0,P
7,42.0,42.5,1051.0,P
7,42.0,47.5,951.0,P
7,42.0,52.5,820.0,P
7,42.0,57.5,637.0,P
7,42.0,62.5,511.0,P
7,42.0,67.5,408.0,P
7,42.0,72.5,247.0,P
7,42.0,77.5,122.0,P
7,42.0,82.5,84.0,P
8,45.0,22.5,1981.0,P
8,45.0,27.5,1203.0,P
8,45.0,32.5,719.0,P
8,45.0,37.5,574.0,P
8,45.0,42.5,644.0,P
8,45.0,47.5,709.0,P
8,45.0,52.5,637.0,P
8,45.0,57.5,458.0,P
8,45.0,62.5,282.0,P
8,45.0,67.5,157.0,P
8,45.0,72.5,155.0,P
8,45.0,77.5,122.0,P
8,45.0,82.5,75.0,P
9,50.0,22.5,1468.0,P
9,50.0,27.5,807.0,P
9,50.0,32.5,553.0,P
9,50.0,37.5,508.0,P
9,50.0,42.5,619.0,P
9,50.0,47.5,621.0,P
9,50.0,52.5,485.0,P
9,50.0,57.5,359.0,P
9,50.0,62.5,325.0,P
9,50.0,67.5,247.0,P
9,50.0,72.5,235.0,P
9,50.0,77.5,155.0,P
9,50.0,82.5,119.0,P
10,56.0,22.5,1543.0,P
10,56.0,27.5,777.0,P
10,56.0,32.5,464.0,P
10,56.0,37.5,499.0,P
10,56.0,42.5,617.0,P
10,56.0,47.5,898.0,P
10,56.0,52.5,460.0,P
10,56.0,57.5,373.0,P
10,56.0,62.5,244.0,P
10,56.0,67.5,174.0,P
10,56.0,72.5,97.0,P
10,56.0,77.5,41.0,P
10,56.0,82.5,51.0,P
11,60.0,22.5,2527.0,P
11,60.0,27.5,1443.0,P
11,60.0,32.5,816.0,P
11,60.0,37.5,747.0,P
11,60.0,42.5,902.0,P
11,60.0,47.5,944.0,P
11,60.0,52.5,810.0,P
11,60.0,57.5,607.0,P
11,60.0,62.5,475.0,P
11,60.0,67.5,381.0,P
11,60.0,72.5,249.0,P
11,60.0,77.5,146.0,P
11,60.0,82.5,60.0,P
12,65.0,22.5,1563.0,P
12,65.0,27.5,944.0,P
12,65.0,32.5,592.0,P
12,65.0,37.5,498.0,P
12,65.0,42.5,583.0,P
12,65.0,47.5,512.0,P
12,65.0,52.5,426.0,P
12,65.0,57.5,382.0,P
12,65.0,62.5,377.0,P
12,65.0,67.5,314.0,P
12,65.0,72.5,183.0,P
12,65.0,77.5,120.0,P
12,65.0,82.5,80.0,P
13,73.0,22.5,2796.0,P
13,73.0,27.5,1759.0,P
13,73.0,32.5,1302.0,P
13,73.0,37.5,1289.0,P
13,73.0,42.5,1401.0,P
13,73.0,47.5,1066.0,P
13,73.0,52.5,864.0,P
13,73.0,57.5,653.0,P
13,73.0,62.5,550.0,P
13,73.0,67.5,442.0,P
13,73.0,72.5,350.0,P
13,73.0,77.5,214.0,P
13,73.0,82.5,81.0,P
14,80.0,22.5,2477.0,P
14,80.0,27.5,1667.0,P
14,80.0,32.5,939.0,P
14,80.0,37.5,782.0,P
14,80.0,42.5,878.0,P
14,80.0,47.5,1028.0,P
14,80.0,52.5,1147.0,P
14,80.0,57.5,1030.0,P
14,80.0,62.5,589.0,P
14,80.0,67.5,348.0,P
14,80.0,72.5,223.0,P
14,80.0,77.5,113.0,P
14,80.0,82.5,86.0,P
15,100.0,22.5,1613.0,P
15,100.0,27.5,1042.0,P
15,100.0,32.5,638.0,P
15,100.0,37.5,510.0,P
15,100.0,42.5,624.0,P
15,100.0,47.5,628.0,P
15,100.0,52.5,513.0,P
15,100.0,57.5,405.0,P
15,100.0,62.5,326.0,P
15,100.0,67.5,252.0,P
15,100.0,72.5,169.0,P
15,100.0,77.5,107.0,P
15,100.0,82.5,68.0,P
16,110.0,22.5,1508.0,P
16,110.0,27.5,809.0,P
16,110.0,32.5,522.0,P
16,110.0,37.5,582.0,P
16,110.0,42.5,519.0,P
16,110.0,47.5,506.0,P
16,110.0,52.5,404.0,P
16,110.0,57.5,316.0,P
16,110.0,62.5,243.0,P
16,110.0,67.5,170.0,P
16,110.0,72.5,113.0,P
16,110.0,77.5,39.0,P
16,110.0,82.5,22.0,P
17,110.0,22.5,1044.0,P
17,110.0,27.5,639.0,P
17,110.0,32.5,363.0,P
17,110.0,37.5,390.0,P
17,110.0,42.5,392.0,P
17,110.0,47.5,408.0,P
17,110.0,52.5,295.0,P
17,110.0,57.5,238.0,P
17,110.0,62.5,205.0,P
17,110.0,67.5,116.0,P
17,110.0,72.5,101.0,P
17,110.0,77.5,41.0,P
17,110.0,82.5,17.0,P
18,123.0,22.5,1022.0,P
18,123.0,27.5,682.0,P
18,123.0,32.5,429.0,P
18,123.0,37.5,492.0,P
18,123.0,42.5,454.0,P
18,123.0,47.5,394.0,P
18,123.0,52.5,286.0,P
18,123.0,57.5,266.0,P
18,123.0,62.5,252.0,P
18,123.0,67.5,192.0,P
18,123.0,72.5,101.0,P
18,123.0,77.5,90.0,P
18,123.0,82.5,49.0,P
19,126.0,22.5,1616.0,P
19,126.0,27.5,897.0,P
19,126.0,32.5,516.0,P
19,126.0,37.5,485.0,P
19,126.0,42.5,588.0,P
19,126.0,47.5,555.0,P
19,126.0,52.5,474.0,P
19,126.0,57.5,411.0,P
19,126.0,62.5,345.0,P
19,126.0,67.5,285.0,P
19,126.0,72.5,184.0,P
19,126.0,77.5,104.0,P
19,126.0,82.5,48.0,P
20,256.0,22.5,2506.0,P
20,256.0,27.5,1455.0,P
20,256.0,32.5,923.0,P
20,256.0,37.5,796.0,P
20,256.0,42.5,929.0,P
20,256.0,47.5,853.0,P
20,256.0,52.5,708.0,P
20,256.0,57.5,510.0,P
20,256.0,62.5,392.0,P
20,256.0,67.5,275.0,P
20,256.0,72.5,202.0,P
20,256.0,77.5,111.0,P
20,256.0,82.5,42.0,P
21,256.0,22.5,1036.0,P
21,256.0,27.5,511.0,P
21,256.0,32.5,249.0,P
21,256.0,37.5,277.0,P
21,256.0,42.5,255.0,P
21,256.0,47.5,281.0,P
21,256.0,52.5,353.0,P
21,256.0,57.5,226.0,P
21,256.0,62.5,204.0,P
21,256.0,67.5,201.0,P
21,256.0,72.5,153.0,P
21,256.0,77.5,83.0,P
21,256.0,82.5,43.0,P
22,259.0,22.5,1425.0,P
22,259.0,27.5,773.0,P
22,259.0,32.5,468.0,P
22,259.0,37.5,379.0,P
22,259.0,42.5,457.0,P
22,259.0,47.5,439.0,P
22,259.0,52.5,403.0,P
22,259.0,57.5,374.0,P
22,259.0,62.5,346.0,P
22,259.0,67.5,237.0,P
22,259.0,72.5,143.0,P
22,259.0,77.5,75.0,P
22,259.0,82.5,61.0,P
23,307.0,22.5,733.0,P
23,307.0,27.5,398.0,P
23,307.0,32.5,202.0,P
23,307.0,37.5,213.0,P
23,307.0,42.5,272.0,P
23,307.0,47.5,292.0,P
23,307.0,52.5,239.0,P
23,307.0,57.5,154.0,P
23,307.0,62.5,169.0,P
23,307.0,67.5,140.0,P
23,307.0,72.5,85.0,P
23,307.0,77.5,32.0,P
23,307.0,82.5,24.0,P
24,307.0,22.5,1231.0,P
24,307.0,27.5,740.0,P
24,307.0,32.5,501.0,P
24,307.0,37.5,514.0,P
24,307.0,42.5,563.0,P
24,307.0,47.5,539.0,P
24,307.0,52.5,440.0,P
24,307.0,57.5,300.0,P
24,307.0,62.5,212.0,P
24,307.0,67.5,131.0,P
24,307.0,72.5,90.0,P
24,307.0,77.5,66.0,P
24,307.0,82.5,37.0,P
25,350.0,22.5,1024.0,P
25,350.0,27.5,551.0,P
25,350.0,32.5,346.0,P
25,350.0,37.5,291.0,P
25,350.0,42.5,351.0,P
25,350.0,47.5,334.0,P
25,350.0,52.5,259.0,P
25,350.0,57.5,204.0,P
25,350.0,62.5,143.0,P
25,350.0,67.5,176.0,P
25,350.0,72.5,122.0,P
25,350.0,77.5,55.0,P
25,350.0,82.5,56.0,P
26,398.0,22.5,745.0,P
26,398.0,27.5,380.0,P
26,398.0,32.5,269.0,P
26,398.0,37.5,218.0,P
26,398.0,42.5,250.0,P
26,398.0,47.5,327.0,P
26,398.0,52.5,294.0,P
26,398.0,57.5,224.0,P
26,398.0,62.5,167.0,P
26,398.0,67.5,103.0,P
26,398.0,72.5,60.0,P
26,398.0,77.5,19.0,P
26,398.0,82.5,13.0,P
27,406.0,22.5,1203.0,P
27,406.0,27.5,570.0,P
27,406.0,32.5,311.0,P
27,406.0,37.5,342.0,P
27,406.0,42.5,341.0,P
27,406.0,47.5,442.0,P
27,406.0,52.5,336.0,P
27,406.0,57.5,319.0,P
27,406.0,62.5,249.0,P
27,406.0,67.5,201.0,P
27,406.0,72.5,104.0,P
27,406.0,77.5,36.0,P
27,406.0,82.5,28.0,P
28,448.0,22.5,1164.0,P
28,448.0,27.5,592.0,P
28,448.0,32.5,379.0,P
28,448.0,37.5,374.0,P
28,448.0,42.5,415.0,P
28,448.0,47.5,364.0,P
28,448.0,52.5,339.0,P
28,448.0,57.5,287.0,P
28,448.0,62.5,220.0,P
28,448.0,67.5,169.0,P
28,448.0,72.5,140.0,P
28,448.0,77.5,86.0,P
28,448.0,82.5,22.0,P
29,467.0,22.5,1476.0,P
29,467.0,27.5,782.0,P
29,467.0,32.5,614.0,P
29,467.0,37.5,621.0,P
29,467.0,42.5,677.0,P
29,467.0,47.5,579.0,P
29,467.0,52.5,466.0,P
29,467.0,57.5,294.0,P
29,467.0,62.5,247.0,P
29,467.0,67.5,206.0,P
29,467.0,72.5,96.0,P
29,467.0,77.5,64.0,P
29,467.0,82.5,57.0,P
30,504.0,22.5,1348.0,P
30,504.0,27.5,696.0,P
30,504.0,32.5,546.0,P
30,504.0,37.5,514.0,P
30,504.0,42.5,637.0,P
30,504.0,47.5,549.0,P
30,504.0,52.5,445.0,P
30,504.0,57.5,371.0,P
30,504.0,62.5,294.0,P
30,504.0,67.5,201.0,P
30,504.0,72.5,104.0,P
30,504.0,77.5,80.0,P
30,504.0,82.5,58.0,P
31,520.0,22.5,1089.0,P
31,520.0,27.5,531.0,P
31,520.0,32.5,326.0,P
31,520.0,37.5,322.0,P
31,520.0,42.5,418.0,P
31,520.0,47.5,396.0,P
31,520.0,52.5,332.0,P
31,520.0,57.5,247.0,P
31,520.0,62.5,220.0,P
31,520.0,67.5,194.0,P
31,520.0,72.5,148.0,P
31,520.0,77.5,93.0,P
31,520.0,82.5,74.0,P
32,520.0,22.5,1161.0,P
32,520.0,27.5,778.0,P
32,520.0,32.5,450.0,P
32,520.0,37.5,420.0,P
32,520.0,42.5,419.0,P
32,520.0,47.5,430.0,P
32,520.0,52.5,362.0,P
32,520.0,57.5,279.0,P
32,520.0,62.5,207.0,P
32,520.0,67.5,166.0,P
32,520.0,72.5,129.0,P
32,520.0,77.5,43.0,P
32,520.0,82.5,26.0,P
33,529.0,22.5,2383.0,P
33,529.0,27.5,1446.0,P
33,529.0,32.5,859.0,P
33,529.0,37.5,855.0,P
33,529.0,42.5,892.0,P
33,529.0,47.5,847.0,P
33,529.0,52.5,691.0,P
33,529.0,57.5,550.0,P
33,529.0,62.5,373.0,P
33,529.0,67.5,295.0,P
33,529.0,72.5,145.0,P
33,529.0,77.5,67.0,P
33,529.0,82.5,51.0,P
34,538.0,22.5,1129.0,P
34,538.0,27.5,616.0,P
34,538.0,32.5,363.0,P
34,538.0,37.5,331.0,P
34,538.0,42.5,352.0,P
34,538.0,47.5,296.0,P
34,538.0,52.5,307.0,P
34,538.0,57.5,279.0,P
34,538.0,62.5,249.0,P
34,538.0,67.5,173.0,P
34,538.0,72.5,106.0,P
34,538.0,77.5,39.0,P
34,538.0,82.5,47.0,P
35,544.0,22.5,910.0,P
35,544.0,27.5,505.0,P
35,544.0,32.5,255.0,P
35,544.0,37.5,238.0,P
35,544.0,42.5,324.0,P
35,544.0,47.5,330.0,P
35,544.0,52.5,295.0,P
35,544.0,57.5,208.0,P
35,544.0,62.5,179.0,P
35,544.0,67.5,152.0,P
35,544.0,72.5,139.0,P
35,544.0,77.5,61.0,P
35,544.0,82.5,59.0,P
36,599.0,22.5,2158.0,P
36,599.0,27.5,1217.0,P
36,599.0,32.5,935.0,P
36,599.0,37.5,747.0,P
36,599.0,42.5,854.0,P
36,599.0,47.5,698.0,P
36,599.0,52.5,702.0,P
36,599.0,57.5,560.0,P
36,599.0,62.5,502.0,P
36,599.0,67.5,226.0,P
36,599.0,72.5,227.0,P
36,599.0,77.5,142.0,P
36,599.0,82.5,91.0,P
37,650.0,22.5,620.0,P
37,650.0,27.5,345.0,P
