Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position,binaryClass
23,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,1402.0,1383.0,0.305,0.377,0.555,0.98,Outfield,N
13,1165.0,4019.0,378.0,1022.0,163.0,19.0,57.0,366.0,208.0,499.0,0.254,0.294,0.347,0.985,Second_base,P
13,1424.0,5557.0,844.0,1588.0,249.0,48.0,9.0,394.0,453.0,223.0,0.286,0.343,0.353,0.974,Second_base,P
14,1281.0,4019.0,591.0,1082.0,188.0,49.0,37.0,303.0,414.0,447.0,0.269,0.34,0.368,0.955,Third_base,P
17,1959.0,6606.0,823.0,1832.0,295.0,35.0,336.0,1122.0,594.0,1059.0,0.277,0.339,0.485,0.994,First_base,P
12,1129.0,3912.0,558.0,999.0,170.0,27.0,130.0,433.0,342.0,918.0,0.255,0.321,0.412,0.975,Outfield,P
10,568.0,1104.0,142.0,260.0,43.0,10.0,37.0,109.0,94.0,220.0,0.236,0.307,0.393,0.96,Shortstop,P
15,1078.0,3048.0,299.0,707.0,108.0,54.0,22.0,317.0,263.0,315.0,0.232,0.296,0.324,0.966,Catcher,P
12,1139.0,3404.0,357.0,815.0,140.0,21.0,73.0,351.0,370.0,424.0,0.239,0.315,0.357,0.98,Second_base,P
13,1281.0,4418.0,623.0,1325.0,255.0,45.0,47.0,501.0,223.0,310.0,0.3,0.336,0.41,0.981,Outfield,P
15,1749.0,6332.0,1099.0,1848.0,320.0,79.0,351.0,1119.0,894.0,1556.0,0.292,0.381,0.534,0.989,First_base,P
11,1195.0,3927.0,442.0,999.0,140.0,44.0,55.0,342.0,300.0,622.0,0.254,0.312,0.354,0.97,Shortstop,P
13,1541.0,5032.0,811.0,1281.0,216.0,53.0,256.0,796.0,795.0,1033.0,0.255,0.36,0.471,0.975,Outfield,P
15,1236.0,3330.0,390.0,846.0,138.0,25.0,36.0,296.0,250.0,636.0,0.254,0.307,0.343,0.956,Shortstop,P
15,1481.0,4760.0,558.0,1168.0,126.0,19.0,13.0,282.0,302.0,482.0,0.245,0.291,0.288,0.977,Second_base,P
17,2082.0,7339.0,985.0,2101.0,359.0,49.0,206.0,852.0,423.0,706.0,0.286,0.33,0.433,0.979,Outfield,P
15,1380.0,4345.0,448.0,1216.0,170.0,26.0,32.0,377.0,138.0,267.0,0.28,0.307,0.353,0.968,Outfield,P
15,1667.0,5789.0,780.0,1777.0,236.0,50.0,31.0,427.0,311.0,377.0,0.307,0.346,0.381,0.979,Outfield,P
10,643.0,1715.0,248.0,418.0,67.0,19.0,9.0,123.0,185.0,224.0,0.244,0.322,0.321,0.97,Second_base,P
11,940.0,2155.0,211.0,505.0,75.0,13.0,8.0,156.0,227.0,280.0,0.234,0.31,0.292,0.967,Shortstop,P
10,873.0,2026.0,244.0,490.0,73.0,12.0,19.0,143.0,206.0,331.0,0.242,0.313,0.318,0.97,Shortstop,P
14,1635.0,6341.0,870.0,1841.0,328.0,124.0,49.0,976.0,310.0,55.0,0.29,0.328,0.404,1.0,Outfield,P
22,2276.0,9101.0,1719.0,2995.0,528.0,124.0,97.0,1879.0,952.0,294.0,0.329,0.395,0.446,0.974,First_base,N
18,2599.0,10230.0,1335.0,2677.0,394.0,92.0,83.0,791.0,736.0,742.0,0.262,0.313,0.343,0.972,Shortstop,N
20,2422.0,8856.0,1319.0,2749.0,440.0,102.0,45.0,1116.0,1302.0,528.0,0.31,0.399,0.398,0.948,Shortstop,N
12,847.0,2646.0,246.0,660.0,106.0,33.0,17.0,296.0,124.0,241.0,0.249,0.288,0.334,0.971,Catcher,P
14,1432.0,5164.0,614.0,1302.0,204.0,39.0,251.0,815.0,260.0,1201.0,0.252,0.29,0.453,0.981,Outfield,P
15,2189.0,8365.0,1322.0,2574.0,317.0,109.0,29.0,586.0,1198.0,571.0,0.308,0.397,0.382,0.983,Outfield,N
17,1370.0,4123.0,397.0,1010.0,183.0,13.0,90.0,513.0,461.0,622.0,0.245,0.323,0.361,0.986,Catcher,P
13,1324.0,4369.0,386.0,1103.0,135.0,26.0,60.0,457.0,333.0,459.0,0.252,0.31,0.336,0.96,Third_base,P
10,544.0,1579.0,163.0,401.0,51.0,10.0,13.0,156.0,177.0,124.0,0.254,0.334,0.324,0.987,Catcher,P
11,624.0,1407.0,167.0,309.0,56.0,5.0,9.0,86.0,127.0,198.0,0.22,0.287,0.286,0.96,Shortstop,P
18,1580.0,5388.0,661.0,1328.0,174.0,76.0,13.0,390.0,592.0,363.0,0.246,0.326,0.314,0.933,Third_base,P
13,1668.0,6353.0,1224.0,2019.0,401.0,128.0,238.0,1164.0,774.0,518.0,0.318,0.395,0.534,0.97,Outfield,N
11,1300.0,4620.0,725.0,1296.0,185.0,35.0,80.0,467.0,561.0,399.0,0.281,0.36,0.388,0.979,Second_base,P
10,425.0,865.0,114.0,217.0,42.0,1.0,38.0,145.0,71.0,136.0,0.251,0.309,0.434,0.958,Outfield,P
11,909.0,2828.0,201.0,712.0,94.0,9.0,50.0,304.0,207.0,344.0,0.252,0.307,0.344,0.992,Catcher,P
14,1212.0,3581.0,432.0,915.0,128.0,15.0,155.0,540.0,545.0,577.0,0.256,0.358,0.429,0.986,Catcher,P
17,1931.0,6082.0,772.0,1564.0,234.0,43.0,189.0,773.0,852.0,1126.0,0.257,0.35,0.403,0.946,Third_base,P
11,955.0,2937.0,339.0,775.0,107.0,23.0,9.0,222.0,187.0,164.0,0.264,0.312,0.325,0.98,Outfield,P
13,874.0,2280.0,285.0,573.0,76.0,13.0,1.0,196.0,382.0,165.0,0.251,0.36,0.297,0.971,Third_base,P
13,1575.0,5984.0,887.0,1838.0,315.0,103.0,96.0,987.0,473.0,182.0,0.307,0.363,0.442,0.943,Third_base,N
19,2039.0,7117.0,964.0,1981.0,320.0,23.0,242.0,1013.0,762.0,926.0,0.278,0.351,0.432,0.985,Outfield,P
