dataset,IR,f1,balanced_accuracy,geometric_mean,roc_auc
dataset_1013_analcatdata_challenger,0.0698,0.0,0.5,0.0,0.5739
dataset_1059_ar1,0.0804,0.0,0.5,0.0,0.7811
dataset_865_analcatdata_neavote,0.0753,0.0,0.5,0.0,0.6178
dataset_316_yeast_ml8,0.0143,0.0,0.5,0.0,0.4991
dataset_767_analcatdata_apnea1,0.1473,0.0,0.5,0.0,0.508
dataset_765_analcatdata_apnea2,0.1557,0.0,0.5,0.0,0.4637
dataset_984_analcatdata_draft,0.0958,0.0571,0.5136,0.0816,0.454
dataset_1014_analcatdata_dmft,0.2414,0.113,0.5134,0.2173,0.512
dataset_1002_ipums_la_98-small,0.1182,0.1171,0.5246,0.2695,0.6712
dataset_764_analcatdata_apnea3,0.1392,0.1201,0.5305,0.2388,0.5399
dataset_1018_ipums_la_99-small,0.0686,0.1235,0.5328,0.2732,0.6473
dataset_1065_kc3,0.1036,0.1891,0.5533,0.2975,0.728
dataset_757_meta,0.1139,0.2112,0.5677,0.3516,0.6691
dataset_1050_pc3,0.114,0.2121,0.5611,0.3727,0.781
dataset_463_backache,0.1613,0.2127,0.5606,0.2998,0.6445
dataset_940_water-treatment,0.179,0.2412,0.569,0.3802,0.6487
dataset_1039_hiva_agnostic,0.0365,0.2587,0.5815,0.4078,0.7339
dataset_1064_ar6,0.1744,0.26,0.6,0.2788,0.7138
dataset_949_arsenic-female-bladder,0.167,0.2669,0.577,0.4395,0.7467
dataset_1045_kc1-top5,0.0584,0.3,0.6463,0.3388,0.7172
dataset_311_oil_spill,0.0458,0.3111,0.5961,0.4352,0.8075
dataset_1049_pc4,0.1391,0.4358,0.6571,0.5778,0.8562
dataset_968_analcatdata_birthday,0.1699,0.4381,0.669,0.6013,0.8698
dataset_1061_ar4,0.2299,0.5267,0.6882,0.6157,0.7599
dataset_1000_hypothyroid,0.0836,0.5452,0.7,0.6309,0.8147
dataset_987_collins,0.1905,0.5883,0.7345,0.6757,0.915
dataset_947_arsenic-male-bladder,0.0449,0.6086,0.725,0.6628,0.7641
dataset_450_analcatdata_lawsuit,0.0776,0.6286,0.7939,0.6843,0.9844
dataset_966_analcatdata_halloffame,0.1029,0.6638,0.7643,0.7273,0.8691
dataset_950_arsenic-female-lung,0.0352,0.7067,0.7917,0.7461,0.8606
dataset_954_spectrometer,0.1155,0.7125,0.8458,0.8353,0.9409
dataset_38_sick,0.0652,0.7184,0.8137,0.7935,0.9592
dataset_312_scene,0.2181,0.7197,0.8545,0.8528,0.9238
dataset_1021_page-blocks,0.114,0.8255,0.8832,0.8768,0.9566
dataset_951_arsenic-male-lung,0.0238,0.92,0.9333,0.9266,0.9667
dataset_1020_mfeat-karhunen,0.1111,0.9216,0.9753,0.9751,0.9963
dataset_1016_vowel,0.1,0.9657,0.9911,0.991,1.0
dataset_995_mfeat-zernike,0.1111,0.9674,0.9786,0.9784,0.9968
dataset_978_mfeat-factors,0.1111,0.9728,0.9881,0.988,0.9989
dataset_958_segment,0.1667,0.9728,0.9828,0.9827,0.9994
dataset_976_JapaneseVowels,0.1934,0.9732,0.9824,0.9822,0.9993
dataset_980_optdigits,0.1133,0.9744,0.9816,0.9815,0.9986
dataset_1022_mfeat-pixel,0.1111,0.9824,0.9892,0.9891,0.9972
dataset_962_mfeat-morphological,0.1111,0.9923,0.9925,0.9924,0.9925
dataset_971_mfeat-fourier,0.1111,0.995,0.9972,0.9972,1.0
dataset_1004_synthetic_control,0.2,1.0,1.0,1.0,1.0
