dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1000_hypothyroid,0.0835966676242459,0,0,0.6739130434782609,0.9117647058823529,0.5344827586206896,0.765089298966012,0.7295082308941174,0.8501088408450007
dataset_1000_hypothyroid,0.0835966676242459,1,0,0.4675324675324675,1.0,0.3050847457627119,0.652542372881356,0.552344770738994,0.8201587765439313
dataset_1000_hypothyroid,0.0835966676242459,2,0,0.6444444444444445,0.90625,0.5,0.7478448275862069,0.705581198435876,0.8391300039635354
dataset_1000_hypothyroid,0.0835966676242459,3,0,0.5116279069767442,0.7857142857142857,0.3793103448275862,0.6853448275862069,0.6132213532337496,0.819869698771304
dataset_1000_hypothyroid,0.0835966676242459,4,0,0.42857142857142855,0.6923076923076923,0.3103448275862069,0.6494252873563219,0.5538751173865176,0.7440423107411811
dataset_1002_ipums_la_98-small,0.11816552136241411,0,0,0.12560386473429952,0.2653061224489796,0.08227848101265822,0.5276963726945292,0.28296000340090566,0.6803773834620584
dataset_1002_ipums_la_98-small,0.11816552136241411,1,0,0.13592233009708737,0.2916666666666667,0.08860759493670886,0.531607755646099,0.29386674441749444,0.688897344513665
dataset_1002_ipums_la_98-small,0.11816552136241411,2,0,0.15311004784688995,0.3137254901960784,0.10126582278481013,0.5375634565753774,0.31403637463520007,0.6727129635756894
dataset_1002_ipums_la_98-small,0.11816552136241411,3,0,0.04926108374384237,0.1111111111111111,0.03164556962025317,0.5008862650192378,0.17521478324159595,0.635924693470472
dataset_1002_ipums_la_98-small,0.11816552136241411,4,0,0.12149532710280374,0.23636363636363636,0.08176100628930817,0.5251854358800802,0.2814152044624602,0.6782957761043894
dataset_1004_synthetic_control,0.2,0,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,1,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,3,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,4,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1013_analcatdata_challenger,0.06976744186046512,0,0,0.0,0.0,0.0,0.5,0.0,0.4230769230769231
dataset_1013_analcatdata_challenger,0.06976744186046512,1,0,0.0,0.0,0.0,0.5,0.0,0.75
dataset_1013_analcatdata_challenger,0.06976744186046512,2,0,0.0,0.0,0.0,0.5,0.0,0.5865384615384615
dataset_1013_analcatdata_challenger,0.06976744186046512,3,0,0.0,0.0,0.0,0.5,0.0,0.75
dataset_1013_analcatdata_challenger,0.06976744186046512,4,0,0.0,0.0,0.0,0.5,0.0,0.36
dataset_1014_analcatdata_dmft,0.24143302180685358,0,0,0.24242424242424243,0.22857142857142856,0.25806451612903225,0.5243810952738184,0.45172006016247307,0.542760690172543
dataset_1014_analcatdata_dmft,0.24143302180685358,1,0,0.10526315789473684,0.2857142857142857,0.06451612903225806,0.5128782195548888,0.24902912254587614,0.49487371842960737
