algorithm,metric,mean,ci_lower,ci_upper,ci_width,n_datasets
DANN,f1,0.3007,0.2251,0.377,0.1519,40
DANNAdaptive_entropy,f1,0.2784,0.2024,0.3598,0.1573,40
KNNAdaptiveDualAnchor,f1,0.532,0.4235,0.6367,0.2132,40
KNNAdaptiveEigen,f1,0.4277,0.3063,0.5505,0.2442,40
KNNAdaptiveEntropy,f1,0.4679,0.3575,0.5824,0.2249,40
KNNAdaptiveTopo,f1,0.5615,0.4633,0.6661,0.2029,40
KNNBaseline,f1,0.5244,0.4126,0.6361,0.2235,40
KNNFairRank,f1,0.5367,0.4579,0.6191,0.1612,40
KNNFairRankCV,f1,0.5912,0.5028,0.6823,0.1795,40
KNNFairRankMagnitude,f1,0.5316,0.4532,0.6119,0.1587,40
KNNOptK,f1,0.5513,0.4432,0.6583,0.2151,40
SMOTE+KNN,f1,0.5527,0.4599,0.6498,0.1898,40
DANN,balanced_accuracy,0.6124,0.5761,0.6525,0.0764,40
DANNAdaptive_entropy,balanced_accuracy,0.6033,0.5678,0.6402,0.0724,40
KNNAdaptiveDualAnchor,balanced_accuracy,0.7384,0.6791,0.7975,0.1184,40
KNNAdaptiveEigen,balanced_accuracy,0.6931,0.6301,0.7529,0.1228,40
KNNAdaptiveEntropy,balanced_accuracy,0.7085,0.6491,0.7682,0.119,40
KNNAdaptiveTopo,balanced_accuracy,0.7555,0.7011,0.8109,0.1099,40
KNNBaseline,balanced_accuracy,0.736,0.6791,0.7983,0.1192,40
KNNFairRank,balanced_accuracy,0.8316,0.7914,0.8708,0.0794,40
KNNFairRankCV,balanced_accuracy,0.8408,0.8004,0.8829,0.0825,40
KNNFairRankMagnitude,balanced_accuracy,0.8272,0.7842,0.8688,0.0846,40
KNNOptK,balanced_accuracy,0.7527,0.6923,0.8089,0.1167,40
SMOTE+KNN,balanced_accuracy,0.7922,0.7363,0.8459,0.1095,40
DANN,geometric_mean,0.3854,0.3034,0.4671,0.1637,40
DANNAdaptive_entropy,geometric_mean,0.3536,0.2692,0.4388,0.1697,40
KNNAdaptiveDualAnchor,geometric_mean,0.5887,0.4878,0.6917,0.2039,40
KNNAdaptiveEigen,geometric_mean,0.4601,0.336,0.5819,0.2459,40
KNNAdaptiveEntropy,geometric_mean,0.5165,0.4097,0.6337,0.224,40
KNNAdaptiveTopo,geometric_mean,0.6623,0.5712,0.7495,0.1783,40
KNNBaseline,geometric_mean,0.583,0.4698,0.6883,0.2185,40
KNNFairRank,geometric_mean,0.8202,0.7747,0.8644,0.0897,40
KNNFairRankCV,geometric_mean,0.8272,0.7759,0.8729,0.097,40
KNNFairRankMagnitude,geometric_mean,0.8147,0.7669,0.86,0.093,40
KNNOptK,geometric_mean,0.635,0.5343,0.7308,0.1965,40
SMOTE+KNN,geometric_mean,0.7705,0.7058,0.8295,0.1237,40
DANN,roc_auc,0.6828,0.6375,0.7298,0.0922,40
DANNAdaptive_entropy,roc_auc,0.7087,0.6593,0.7584,0.0991,40
KNNAdaptiveDualAnchor,roc_auc,0.862,0.8147,0.9052,0.0904,40
KNNAdaptiveEigen,roc_auc,0.8492,0.7994,0.8972,0.0978,40
KNNAdaptiveEntropy,roc_auc,0.8423,0.7871,0.8938,0.1066,40
KNNAdaptiveTopo,roc_auc,0.7557,0.6996,0.8131,0.1135,40
KNNBaseline,roc_auc,0.8114,0.7537,0.8654,0.1117,40
KNNFairRank,roc_auc,0.8639,0.8235,0.9014,0.0779,40
KNNFairRankCV,roc_auc,0.8674,0.8257,0.9056,0.0799,40
KNNFairRankMagnitude,roc_auc,0.8798,0.8345,0.9192,0.0846,40
KNNOptK,roc_auc,0.7801,0.7249,0.8375,0.1126,40
SMOTE+KNN,roc_auc,0.8206,0.7638,0.8748,0.111,40
