algorithm,metric,mean,ci_lower,ci_upper,ci_width,n_datasets
KNNAdaptiveTopo,mcc,0.5465,0.4331,0.652,0.2189,40
KNNFairRank,mcc,0.5052,0.424,0.5852,0.1612,40
KNNFairRankBayesian,mcc,0.5576,0.4597,0.6569,0.1972,40
KNNFairRankCV,mcc,0.5608,0.4682,0.6562,0.188,40
KNNFairRankDensityRegion,mcc,0.4715,0.3837,0.5644,0.1807,40
KNNFairRankEnsemble,mcc,0.5849,0.5009,0.6738,0.1729,40
KNNFairRankJackknife,mcc,0.5357,0.4543,0.6147,0.1604,40
KNNFairRankJointCV,mcc,0.5767,0.4765,0.6766,0.2001,40
KNNFairRankLocalCount,mcc,0.5069,0.4036,0.6147,0.2111,40
KNNFairRankOptVotes,mcc,0.5379,0.449,0.6273,0.1783,40
KNNFairRankTopoCount,mcc,0.4729,0.3815,0.5642,0.1827,40
KNNFairRankTopoJoint,mcc,0.5292,0.4366,0.6217,0.1851,40
KNNOptK,mcc,0.5631,0.4569,0.6678,0.211,40
KNNWeighted,mcc,0.5366,0.4423,0.6293,0.1871,40
SMOTE+KNN,mcc,0.5509,0.4493,0.6475,0.1982,40
KNNAdaptiveTopo,f1,0.5857,0.4841,0.6859,0.2017,40
KNNFairRank,f1,0.5367,0.4615,0.6168,0.1552,40
KNNFairRankBayesian,f1,0.6009,0.5115,0.6927,0.1812,40
KNNFairRankCV,f1,0.5912,0.4992,0.6813,0.1821,40
KNNFairRankDensityRegion,f1,0.5092,0.426,0.5924,0.1664,40
KNNFairRankEnsemble,f1,0.6163,0.5368,0.7023,0.1654,40
KNNFairRankJackknife,f1,0.5648,0.4884,0.643,0.1545,40
KNNFairRankJointCV,f1,0.608,0.5126,0.699,0.1864,40
KNNFairRankLocalCount,f1,0.5601,0.468,0.6557,0.1877,40
KNNFairRankOptVotes,f1,0.5686,0.4826,0.653,0.1704,40
KNNFairRankTopoCount,f1,0.5162,0.4334,0.6019,0.1685,40
KNNFairRankTopoJoint,f1,0.5625,0.4817,0.6461,0.1644,40
KNNOptK,f1,0.5916,0.4924,0.69,0.1975,40
KNNWeighted,f1,0.5844,0.5036,0.6657,0.1621,40
SMOTE+KNN,f1,0.5956,0.5068,0.6794,0.1726,40
KNNAdaptiveTopo,geometric_mean,0.6808,0.592,0.762,0.17,40
KNNFairRank,geometric_mean,0.8202,0.7747,0.8644,0.0897,40
KNNFairRankBayesian,geometric_mean,0.8001,0.7434,0.8519,0.1085,40
KNNFairRankCV,geometric_mean,0.8272,0.7791,0.8708,0.0916,40
KNNFairRankDensityRegion,geometric_mean,0.799,0.7513,0.8458,0.0945,40
KNNFairRankEnsemble,geometric_mean,0.7733,0.7025,0.838,0.1356,40
KNNFairRankJackknife,geometric_mean,0.8243,0.7791,0.8723,0.0932,40
KNNFairRankJointCV,geometric_mean,0.8319,0.7812,0.8781,0.0968,40
KNNFairRankLocalCount,geometric_mean,0.7455,0.6808,0.812,0.1313,40
KNNFairRankOptVotes,geometric_mean,0.83,0.7845,0.8735,0.089,40
KNNFairRankTopoCount,geometric_mean,0.7818,0.7268,0.8316,0.1048,40
KNNFairRankTopoJoint,geometric_mean,0.8191,0.773,0.8651,0.0921,40
KNNOptK,geometric_mean,0.6785,0.5844,0.7652,0.1809,40
KNNWeighted,geometric_mean,0.7983,0.7371,0.8543,0.1172,40
SMOTE+KNN,geometric_mean,0.8074,0.749,0.8596,0.1107,40
KNNAdaptiveTopo,roc_auc,0.7699,0.7137,0.8237,0.1099,40
KNNFairRank,roc_auc,0.8639,0.8205,0.9007,0.0803,40
KNNFairRankBayesian,roc_auc,0.8515,0.8067,0.8947,0.088,40
KNNFairRankCV,roc_auc,0.8674,0.8277,0.9051,0.0774,40
KNNFairRankDensityRegion,roc_auc,0.8365,0.7887,0.8796,0.091,40
KNNFairRankEnsemble,roc_auc,0.8853,0.8445,0.9199,0.0753,40
KNNFairRankJackknife,roc_auc,0.8755,0.8367,0.9115,0.0747,40
KNNFairRankJointCV,roc_auc,0.8637,0.8196,0.9047,0.0851,40
KNNFairRankLocalCount,roc_auc,0.8228,0.7713,0.87,0.0987,40
KNNFairRankOptVotes,roc_auc,0.8583,0.8155,0.8963,0.0807,40
KNNFairRankTopoCount,roc_auc,0.837,0.7935,0.8785,0.085,40
KNNFairRankTopoJoint,roc_auc,0.8626,0.82,0.9,0.08,40
KNNOptK,roc_auc,0.8057,0.7534,0.856,0.1026,40
KNNWeighted,roc_auc,0.8431,0.7919,0.8865,0.0946,40
SMOTE+KNN,roc_auc,0.8525,0.8073,0.8968,0.0895,40
