dataset,ir,r,alpha,n
dataset_1056_mc1,0.0072355820387316454,138.20588235294116,1.0,9466
dataset_316_yeast_ml8,0.014267729752412925,70.08823529411765,1.0,2417
dataset_947_arsenic-male-bladder,0.044859813084112146,22.291666666666668,1.0,559
dataset_311_oil_spill,0.04575892857142857,21.853658536585368,1.0,937
dataset_38_sick,0.06523580909347641,15.32900432900433,1.0,3772
dataset_1018_ipums_la_99-small,0.06863218946350894,14.570422535211268,1.0,8844
dataset_1000_hypothyroid,0.0835966676242459,11.962199312714777,1.0,3772
dataset_984_analcatdata_draft,0.09580838323353294,10.4375,1.0,366
dataset_1016_vowel,0.1,10.0,1.0,990
dataset_966_analcatdata_halloffame,0.102880658436214,9.719999999999999,1.0,1340
dataset_1065_kc3,0.10361445783132531,9.651162790697674,1.0,458
dataset_1022_mfeat-pixel,0.1111111111111111,9.0,0.25,2000
dataset_1020_mfeat-karhunen,0.1111111111111111,9.0,0.25,2000
dataset_995_mfeat-zernike,0.1111111111111111,9.0,0.5,2000
dataset_971_mfeat-fourier,0.1111111111111111,9.0,0.25,2000
dataset_962_mfeat-morphological,0.1111111111111111,9.0,0.25,2000
dataset_978_mfeat-factors,0.1111111111111111,9.0,0.25,2000
dataset_980_optdigits,0.1133122028526149,8.825174825174825,0.5,5620
dataset_757_meta,0.11392405063291139,8.777777777777779,1.0,528
dataset_1021_page-blocks,0.11398330958681051,8.773214285714285,0.75,5473
dataset_1050_pc3,0.11404133998574484,8.768749999999999,0.75,1563
dataset_954_spectrometer,0.11554621848739496,8.654545454545454,0.25,531
dataset_1002_ipums_la_98-small,0.11816552136241411,8.462705436156764,1.0,7485
dataset_1049_pc4,0.1390625,7.191011235955056,0.75,1458
dataset_764_analcatdata_apnea3,0.13924050632911392,7.1818181818181825,0.25,450
dataset_767_analcatdata_apnea1,0.1473429951690821,6.78688524590164,0.75,475
dataset_1023_soybean,0.155668358714044,6.423913043478261,0.5,683
dataset_765_analcatdata_apnea2,0.15571776155717762,6.421875,0.25,475
dataset_463_backache,0.16129032258064516,6.2,1.0,180
dataset_958_segment,0.16666666666666666,6.0,0.25,2310
dataset_949_arsenic-female-bladder,0.16701461377870563,5.9875,0.75,559
dataset_968_analcatdata_birthday,0.16987179487179488,5.886792452830188,1.0,365
dataset_940_water-treatment,0.1789709172259508,5.5874999999999995,1.0,527
dataset_987_collins,0.19047619047619047,5.25,1.0,500
dataset_976_JapaneseVowels,0.19336288486881514,5.171623296158612,0.25,9961
dataset_1004_synthetic_control,0.2,5.0,0.25,600
dataset_312_scene,0.21811740890688258,4.5846867749419955,0.25,2407
dataset_1061_ar4,0.22988505747126436,4.35,1.0,107
dataset_867_visualizing_livestock,0.23809523809523808,4.2,1.0,130
dataset_1014_analcatdata_dmft,0.24143302180685358,4.141935483870967,1.0,797
