dataset,n_min,ir_ratio,n_votes,gmean
dataset_1004_synthetic_control,100,0.2,1,1.0
dataset_1004_synthetic_control,100,0.2,2,1.0
dataset_1004_synthetic_control,100,0.2,3,1.0
dataset_1004_synthetic_control,100,0.2,5,1.0
dataset_1004_synthetic_control,100,0.2,7,1.0
dataset_1004_synthetic_control,100,0.2,10,1.0
dataset_1004_synthetic_control,100,0.2,15,1.0
dataset_1014_analcatdata_dmft,155,0.24143302180685358,1,0.4409919374719321
dataset_1014_analcatdata_dmft,155,0.24143302180685358,2,0.38934835871983786
dataset_1014_analcatdata_dmft,155,0.24143302180685358,3,0.4364653778569895
dataset_1014_analcatdata_dmft,155,0.24143302180685358,5,0.46148417344338244
dataset_1014_analcatdata_dmft,155,0.24143302180685358,7,0.49374681730101005
dataset_1014_analcatdata_dmft,155,0.24143302180685358,10,0.49301604776117947
dataset_1014_analcatdata_dmft,155,0.24143302180685358,15,0.49301604776117947
dataset_1016_vowel,90,0.1,1,0.9532571110324006
dataset_1016_vowel,90,0.1,2,0.9544072253917172
dataset_1016_vowel,90,0.1,3,0.926105274418676
dataset_1016_vowel,90,0.1,5,0.9085080938453982
dataset_1016_vowel,90,0.1,7,0.9212391981356485
dataset_1016_vowel,90,0.1,10,0.9366623881608751
dataset_1016_vowel,90,0.1,15,0.9366623881608751
dataset_1020_mfeat-karhunen,200,0.1111111111111111,1,0.9368895347382316
dataset_1020_mfeat-karhunen,200,0.1111111111111111,2,0.9427758202928906
dataset_1020_mfeat-karhunen,200,0.1111111111111111,3,0.9249757893610043
dataset_1020_mfeat-karhunen,200,0.1111111111111111,5,0.9156540657788461
dataset_1020_mfeat-karhunen,200,0.1111111111111111,7,0.9034724806788248
dataset_1020_mfeat-karhunen,200,0.1111111111111111,10,0.8914937493772449
dataset_1020_mfeat-karhunen,200,0.1111111111111111,15,0.8914937493772449
dataset_1000_hypothyroid,291,0.0835966676242459,1,0.7105869514742837
dataset_1000_hypothyroid,291,0.0835966676242459,2,0.7174095470350531
dataset_1000_hypothyroid,291,0.0835966676242459,3,0.7233816881391167
dataset_1000_hypothyroid,291,0.0835966676242459,5,0.7132578186336758
dataset_1000_hypothyroid,291,0.0835966676242459,7,0.7164409131236311
dataset_1000_hypothyroid,291,0.0835966676242459,10,0.7280590199157542
dataset_1000_hypothyroid,291,0.0835966676242459,15,0.7280590199157542
dataset_1021_page-blocks,560,0.11398330958681051,1,0.9433953387610575
dataset_1021_page-blocks,560,0.11398330958681051,2,0.9410922285358975
dataset_1021_page-blocks,560,0.11398330958681051,3,0.9411191270999378
dataset_1021_page-blocks,560,0.11398330958681051,5,0.9396132563536822
dataset_1021_page-blocks,560,0.11398330958681051,7,0.93852367048156
dataset_1021_page-blocks,560,0.11398330958681051,10,0.93617517109134
dataset_1021_page-blocks,560,0.11398330958681051,15,0.93617517109134
dataset_1023_soybean,92,0.155668358714044,1,0.9620178336053196
dataset_1023_soybean,92,0.155668358714044,2,0.96526655702675
dataset_1023_soybean,92,0.155668358714044,3,0.9451649297132813
dataset_1023_soybean,92,0.155668358714044,5,0.9233465642082008
dataset_1023_soybean,92,0.155668358714044,7,0.9010008514628666
dataset_1023_soybean,92,0.155668358714044,10,0.8839891899717109
dataset_1023_soybean,92,0.155668358714044,15,0.8839891899717109
dataset_1022_mfeat-pixel,200,0.1111111111111111,1,0.9727780476243287
dataset_1022_mfeat-pixel,200,0.1111111111111111,2,0.9784567825491728
dataset_1022_mfeat-pixel,200,0.1111111111111111,3,0.967931718539328
dataset_1022_mfeat-pixel,200,0.1111111111111111,5,0.9633453272736542
dataset_1022_mfeat-pixel,200,0.1111111111111111,7,0.9561325913998815
dataset_1022_mfeat-pixel,200,0.1111111111111111,10,0.9509453077098364
dataset_1022_mfeat-pixel,200,0.1111111111111111,15,0.9509453077098364
dataset_1049_pc4,178,0.1390625,1,0.7861649695305073
dataset_1049_pc4,178,0.1390625,2,0.7865225697227289
dataset_1049_pc4,178,0.1390625,3,0.7642136010101683
dataset_1049_pc4,178,0.1390625,5,0.7586755134942216
dataset_1049_pc4,178,0.1390625,7,0.7523219014516571
dataset_1049_pc4,178,0.1390625,10,0.7491028756523327
dataset_1049_pc4,178,0.1390625,15,0.7491028756523327
dataset_1050_pc3,160,0.11404133998574484,1,0.7582046821175291
dataset_1050_pc3,160,0.11404133998574484,2,0.7541891049545972
dataset_1050_pc3,160,0.11404133998574484,3,0.7381083456894053
dataset_1050_pc3,160,0.11404133998574484,5,0.7376900687658002
dataset_1050_pc3,160,0.11404133998574484,7,0.7455868646975864
dataset_1050_pc3,160,0.11404133998574484,10,0.7438528663053534
dataset_1050_pc3,160,0.11404133998574484,15,0.7438528663053534
dataset_1061_ar4,20,0.22988505747126436,1,0.640474981204106
dataset_1061_ar4,20,0.22988505747126436,2,0.6389153260071777
dataset_1061_ar4,20,0.22988505747126436,3,0.6350361559951623
dataset_1061_ar4,20,0.22988505747126436,5,0.6697572718503865
dataset_1061_ar4,20,0.22988505747126436,7,0.6724454242399396
dataset_1061_ar4,20,0.22988505747126436,10,0.6873508461384304
dataset_1061_ar4,20,0.22988505747126436,15,0.6873508461384304
dataset_1064_ar6,15,0.1744186046511628,1,0.5673495447532465
dataset_1064_ar6,15,0.1744186046511628,2,0.6298998752436668
dataset_1064_ar6,15,0.1744186046511628,3,0.5650606507245567
dataset_1064_ar6,15,0.1744186046511628,5,0.6149639160303024
dataset_1064_ar6,15,0.1744186046511628,7,0.6210769732991096
dataset_1064_ar6,15,0.1744186046511628,10,0.6901579900379006
