dataset,IR,n,best_k
dataset_1056_mc1,0.01,9466,1
dataset_316_yeast_ml8,0.01,2417,1
dataset_951_arsenic-male-lung,0.02,559,1
dataset_947_arsenic-male-bladder,0.04,559,1
dataset_950_arsenic-female-lung,0.04,559,1
dataset_311_oil_spill,0.05,937,1
dataset_1045_kc1-top5,0.06,145,3
dataset_38_sick,0.07,3772,1
dataset_1013_analcatdata_challenger,0.07,138,1
dataset_1018_ipums_la_99-small,0.07,8844,1
dataset_1000_hypothyroid,0.08,3772,1
dataset_1059_ar1,0.08,121,1
dataset_450_analcatdata_lawsuit,0.08,264,1
dataset_865_analcatdata_neavote,0.08,100,1
dataset_1016_vowel,0.1,990,1
dataset_1065_kc3,0.1,458,1
dataset_984_analcatdata_draft,0.1,366,1
dataset_966_analcatdata_halloffame,0.1,1340,5
dataset_757_meta,0.11,528,1
dataset_971_mfeat-fourier,0.11,2000,1
dataset_1022_mfeat-pixel,0.11,2000,5
dataset_1021_page-blocks,0.11,5473,1
dataset_1050_pc3,0.11,1563,1
dataset_995_mfeat-zernike,0.11,2000,1
dataset_962_mfeat-morphological,0.11,2000,3
dataset_978_mfeat-factors,0.11,2000,23
dataset_980_optdigits,0.11,5620,1
dataset_1020_mfeat-karhunen,0.11,2000,1
dataset_954_spectrometer,0.12,531,3
dataset_1002_ipums_la_98-small,0.12,7485,1
dataset_764_analcatdata_apnea3,0.14,450,1
dataset_1049_pc4,0.14,1458,1
dataset_767_analcatdata_apnea1,0.15,475,1
dataset_463_backache,0.16,180,1
dataset_765_analcatdata_apnea2,0.16,475,1
dataset_968_analcatdata_birthday,0.17,365,19
dataset_949_arsenic-female-bladder,0.17,559,1
dataset_1064_ar6,0.17,101,1
dataset_958_segment,0.17,2310,1
dataset_940_water-treatment,0.18,527,1
dataset_976_JapaneseVowels,0.19,9961,1
dataset_987_collins,0.19,500,1
dataset_1004_synthetic_control,0.2,600,1
dataset_312_scene,0.22,2407,7
dataset_1061_ar4,0.23,107,7
dataset_1014_analcatdata_dmft,0.24,797,1
