dataset,IR,fold,rep,best_k,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1000_hypothyroid,0.0835966676242459,0,0,1,0.6346153846153846,0.717391304347826,0.5689655172413793,0.7751570771285806,0.747230576765838,0.7751570771285806
dataset_1000_hypothyroid,0.0835966676242459,1,0,1,0.5806451612903226,0.7941176470588235,0.4576271186440678,0.72378482368985,0.6730709821768501,0.7237848236898501
dataset_1000_hypothyroid,0.0835966676242459,2,0,1,0.5794392523364486,0.6326530612244898,0.5344827586206896,0.7543103448275862,0.7215676882014337,0.7543103448275861
dataset_1000_hypothyroid,0.0835966676242459,3,0,1,0.5979381443298969,0.7435897435897436,0.5,0.742816091954023,0.7020086124500347,0.742816091954023
dataset_1000_hypothyroid,0.0835966676242459,4,0,1,0.42105263157894735,0.5405405405405406,0.3448275862068966,0.6602011494252873,0.5800043735398952,0.6602011494252874
dataset_1002_ipums_la_98-small,0.11816552136241411,0,0,1,0.25,0.2411764705882353,0.25949367088607594,0.5815765591174218,0.48424570955602114,0.5815765591174219
dataset_1002_ipums_la_98-small,0.11816552136241411,1,0,1,0.21221864951768488,0.21568627450980393,0.2088607594936709,0.5596208203741693,0.43605371491063727,0.5596208203741693
dataset_1002_ipums_la_98-small,0.11816552136241411,2,0,1,0.23824451410658307,0.2360248447204969,0.24050632911392406,0.5743233661999793,0.46734731700777177,0.5743233661999791
dataset_1002_ipums_la_98-small,0.11816552136241411,3,0,1,0.21406727828746178,0.20710059171597633,0.22151898734177214,0.5607221523714089,0.44648689229797384,0.5607221523714089
dataset_1002_ipums_la_98-small,0.11816552136241411,4,0,1,0.22560975609756098,0.21893491124260356,0.23270440251572327,0.567024846997772,0.45798145979304894,0.567024846997772
dataset_1004_synthetic_control,0.2,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,2,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,3,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1004_synthetic_control,0.2,4,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1013_analcatdata_challenger,0.06976744186046512,0,0,3,0.0,0.0,0.0,0.4807692307692308,0.0,0.4230769230769231
dataset_1013_analcatdata_challenger,0.06976744186046512,1,0,3,0.0,0.0,0.0,0.5,0.0,0.8461538461538461
dataset_1013_analcatdata_challenger,0.06976744186046512,2,0,1,0.25,0.16666666666666666,0.5,0.6538461538461539,0.6354889093022426,0.653846153846154
dataset_1013_analcatdata_challenger,0.06976744186046512,3,0,3,0.0,0.0,0.0,0.5,0.0,0.3653846153846154
dataset_1013_analcatdata_challenger,0.06976744186046512,4,0,1,0.0,0.0,0.0,0.42,0.0,0.42
dataset_1014_analcatdata_dmft,0.24143302180685358,0,0,17,0.0,0.0,0.0,0.5,0.0,0.43598399599899973
dataset_1014_analcatdata_dmft,0.24143302180685358,1,0,1,0.0,0.0,0.0,0.4728682170542636,0.0,0.4728682170542636
dataset_1014_analcatdata_dmft,0.24143302180685358,2,0,1,0.05555555555555555,0.2,0.03225806451612903,0.5005040322580645,0.1767766952966369,0.5005040322580645
dataset_1014_analcatdata_dmft,0.24143302180685358,3,0,5,0.0,0.0,0.0,0.49609375,0.0,0.4855090725806452
dataset_1014_analcatdata_dmft,0.24143302180685358,4,0,9,0.1111111111111111,0.4,0.06451612903225806,0.520539314516129,0.2510060402820309,0.506930443548387
dataset_1016_vowel,0.1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1016_vowel,0.1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1016_vowel,0.1,2,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1016_vowel,0.1,3,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1016_vowel,0.1,4,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1018_ipums_la_99-small,0.06863218946350894,0,0,1,0.14150943396226415,0.15151515151515152,0.13274336283185842,0.5410093625753495,0.3549788780302762,0.5410093625753495
dataset_1018_ipums_la_99-small,0.06863218946350894,1,0,1,0.17142857142857143,0.16030534351145037,0.18421052631578946,0.5588726347591032,0.4146889513591996,0.5588726347591031
dataset_1018_ipums_la_99-small,0.06863218946350894,2,0,1,0.13043478260869565,0.12931034482758622,0.13157894736842105,0.5352758785180474,0.351495453603089,0.5352758785180474
dataset_1018_ipums_la_99-small,0.06863218946350894,3,0,1,0.2171945701357466,0.22429906542056074,0.21052631578947367,0.5801876291938305,0.447178038863408,0.5801876291938305
dataset_1018_ipums_la_99-small,0.06863218946350894,4,0,1,0.21487603305785125,0.20155038759689922,0.23008849557522124,0.5839264230141967,0.4645091910822055,0.5839264230141966
dataset_1020_mfeat-karhunen,0.1111111111111111,0,0,27,0.8809523809523809,0.8409090909090909,0.925,0.9527777777777777,0.9523727678219747,0.981111111111111
dataset_1020_mfeat-karhunen,0.1111111111111111,1,0,1,0.8863636363636364,0.8125,0.975,0.975,0.975,0.9750000000000001
