algorithm,statistic,p_raw,p_corrected,significant
DANNAdaptive_entropy,65.0,3.1401395972352475e-07,3.768167516682297e-06,True
KNNFairRankCV,12.0,5.751653269401829e-06,6.326818596342012e-05,True
DANN,98.0,6.9107463787076995e-06,6.9107463787077e-05,True
KNNWeighted,172.0,0.0023486394938546282,0.021137755444691653,True
KNNAdaptiveEigen,209.0,0.019174676082868887,0.1533974086629511,False
KNNFairRankMagnitude,252.0,0.08570187021781255,0.5999130915246879,False
KNNAdaptiveEntropy,271.0,0.1490271110509829,0.8941626663058975,False
SMOTE+KNN,290.0,0.16286517752772967,0.8143258876386483,False
KNNAdaptiveTopo,293.0,0.26104426545782256,1.0,False
KNNOptK,311.0,0.3882004772051546,1.0,False
KNNAdaptiveDualAnchor,363.0,0.9133872450797261,1.0,False
KNNBaseline,368.0,0.9710784815944591,0.9710784815944591,False
