algorithm,statistic,p_raw,p_corrected,significant
<<<<<<< HEAD
<<<<<<< Updated upstream
KNNFairRankCV,12.0,5.751653269401829e-06,3.450991961641097e-05,True
SMOTE+KNN,132.0,0.0003177408881417711,0.0015887044407088555,True
KNNWeighted,172.0,0.0023486394938546282,0.009394557975418513,True
KNNAdaptiveTopo,229.0,0.04016266484752292,0.12048799454256875,False
KNNOptK,239.0,0.05651420999669288,0.11302841999338575,False
KNNFairRankMagnitude,252.0,0.08570187021781255,0.08570187021781255,False
=======
KNNFairRankTopoJointBootstrap,44.0,3.500433972160047e-06,5.2506509582400706e-05,True
KNNFairRankJackknife,57.0,5.455484514343386e-06,7.63767832008074e-05,True
KNNFairRankCV,12.0,5.75165326940183e-06,7.47714925022238e-05,True
KNNFairRankJointCV,63.0,8.2170326907935e-06,9.860439228952201e-05,True
KNNFairRankTopoJoint,52.0,1.6495002820951592e-05,0.00018144503103046752,True
KNNFairRankEnsemble,94.0,6.074981309915875e-05,0.0006074981309915875,True
KNNFairRankOptVotes,129.0,0.0002702607257632838,0.002432346531869554,True
SMOTE+KNN,132.0,0.0003177408881417712,0.0025419271051341694,True
KNNFairRankDensityRegion,133.0,0.00033523026276224816,0.002346611839335737,True
KNNFairRankBayesian,128.0,0.0004367797125780697,0.0026206782754684185,True
KNNWeighted,172.0,0.002348639493854628,0.011743197469273138,True
KNNFairRankTopoCount,199.0,0.012877461081117762,0.051509844324471046,False
KNNAdaptiveTopo,229.0,0.04016266484752292,0.12048799454256875,False
KNNOptK,239.0,0.05651420999669286,0.11302841999338573,False
KNNFairRankLocalCount,245.0,0.06875358406708156,0.06875358406708156,False
>>>>>>> Stashed changes
=======
KNNFairRankTopoJointBootstrap,44.0,3.5004339721600464e-06,5.25065095824007e-05,True
KNNFairRankJackknife,57.0,5.455484514343386e-06,7.63767832008074e-05,True
KNNFairRankCV,12.0,5.751653269401829e-06,7.477149250222378e-05,True
KNNFairRankJointCV,63.0,8.2170326907935e-06,9.860439228952201e-05,True
KNNFairRankTopoJoint,52.0,1.6495002820951592e-05,0.00018144503103046752,True
KNNFairRankEnsemble,94.0,6.074981309915873e-05,0.0006074981309915873,True
KNNFairRankOptVotes,129.0,0.0002702607257632838,0.002432346531869554,True
SMOTE+KNN,132.0,0.0003177408881417711,0.002541927105134169,True
KNNFairRankDensityRegion,133.0,0.00033523026276224816,0.002346611839335737,True
KNNFairRankBayesian,128.0,0.00043677971257806983,0.002620678275468419,True
KNNWeighted,172.0,0.0023486394938546282,0.011743197469273142,True
KNNFairRankTopoCount,199.0,0.012877461081117762,0.051509844324471046,False
KNNAdaptiveTopo,229.0,0.04016266484752292,0.12048799454256875,False
KNNOptK,239.0,0.05651420999669288,0.11302841999338575,False
KNNFairRankLocalCount,245.0,0.06875358406708156,0.06875358406708156,False
>>>>>>> fea0891c1b8b5e0dfe6efe30331e1c345ab759da
