algorithm,statistic,p_raw,p_corrected,significant
DANN,1.0,3.637978807091713e-12,4.3655745685100555e-11,True
DANNAdaptive_entropy,2.0,5.4569682106375694e-12,6.002665031701326e-11,True
KNNAdaptiveEigen,28.0,6.79862776734755e-07,6.79862776734755e-06,True
KNNAdaptiveEntropy,38.0,1.421211976831575e-06,1.2790907791484177e-05,True
KNNAdaptiveDualAnchor,50.0,3.3520245401520385e-06,2.6816196321216308e-05,True
KNNBaseline,73.0,1.6001738746250176e-05,0.00011201217122375123,True
KNNAdaptiveTopo,82.0,2.8654196129167263e-05,0.00017192517677500356,True
KNNOptK,84.0,3.254270191877577e-05,0.00016271350959387885,True
KNNFairRankCV,114.0,0.014795424247745142,0.05918169699098057,False
KNNFairRankMagnitude,215.0,0.024126809941339256,0.07238042982401777,False
SMOTE+KNN,288.0,0.15461739679262876,0.3092347935852575,False
KNNWeighted,368.0,0.7588357955262863,0.7588357955262863,False
