algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveTopo,79.0,2.363931532256878e-05,0.0002363931532256878,True
KNNOptK,84.0,3.254270191877577e-05,0.0002928843172689819,True
KNNFairRankJackknife,167.0,0.0031652845200996335,0.025322276160797068,True
KNNFairRankJointCV,190.0,0.008853477415938543,0.061974341911569794,False
KNNFairRankOptVotes,207.0,0.010656526918556173,0.06393916151133704,False
KNNFairRankCV,114.0,0.014795424247745142,0.07397712123872571,False
KNNFairRankEnsemble,228.0,0.03877428607316506,0.15509714429266025,False
KNNFairRankTopoJoint,207.0,0.047756090854904176,0.14326827256471253,False
KNNWeighted,368.0,0.7588357955262863,1.0,False
SMOTE+KNN,376.0,0.845103323404058,0.845103323404058,False
