algorithm,statistic,p_raw,p_corrected,significant
DANN,1.0,2.9103830456733704e-11,3.7834979593753815e-10,True
DANNAdaptive_entropy,2.0,4.3655745685100555e-11,5.238689482212067e-10,True
KNNAdaptiveEigen,28.0,2.591264213859164e-06,2.8503906352450802e-05,True
KNNAdaptiveEntropy,38.0,5.705399339224691e-06,5.7053993392246904e-05,True
KNNAdaptiveDualAnchor,50.0,1.4217641061898601e-05,0.00012795876955708742,True
KNNBaseline,73.0,7.378071555103024e-05,0.0005902457244082419,True
KNNAdaptiveTopo,82.0,0.00013544566349090278,0.0009481196444363195,True
KNNOptK,84.0,0.0001545873449879327,0.0009275240699275961,True
KNNFairRankCV,114.0,0.014795424247745142,0.07397712123872571,False
KNNFairRankMagnitude,185.0,0.03323039148816461,0.13292156595265844,False
SMOTE+KNNOptK,235.0,0.12364902145322194,0.37094706435966585,False
SMOTE+KNN,287.0,0.469872544128363,0.939745088256726,False
KNNWeighted,312.0,0.7414588442222838,0.7414588442222838,False
