algorithm,statistic,p_raw,p_corrected,significant
DANN,14.0,2.000888343900442e-10,2.4010660126805305e-09,True
DANNAdaptive_entropy,29.0,4.710256628576045e-07,5.18128229143365e-06,True
KNNAdaptiveTopo,87.0,2.3539635173645345e-05,0.00023539635173645346,True
KNNFairRankMagnitude,87.0,2.3539635173645345e-05,0.0002118567165628081,True
KNNOptK,129.0,0.0002702607257632838,0.0021620858061062705,True
KNNAdaptiveDualAnchor,251.0,0.05241072296998144,0.3668750607898701,False
KNNBaseline,272.0,0.09962183121844811,0.5977309873106886,False
KNNWeighted,283.0,0.13538882573328165,0.6769441286664082,False
KNNAdaptiveEigen,284.0,0.13907891310816609,0.5563156524326643,False
KNNFairRankCV,189.0,0.2476009312007299,0.7428027936021897,False
SMOTE+KNN,292.0,0.2549415403764369,0.5098830807528738,False
KNNAdaptiveEntropy,323.0,0.3497961016569696,0.3497961016569696,False
