algorithm,statistic,p_raw,p_corrected,significant
KNNFairRankJackknife,9.0,1.5835300386842945e-07,2.2169420541580125e-06,True
KNNFairRankEnsemble,18.0,3.186777746432028e-07,4.1428110703616366e-06,True
KNNAdaptiveTopo,87.0,2.3539635173645345e-05,0.00028247562208374413,True
KNNFairRankTopoCount,109.0,0.00014923134159216078,0.0016415447575137685,True
KNNOptK,142.0,0.0005384937914633668,0.005384937914633668,True
KNNFairRankDensityRegion,128.0,0.0007468276212000424,0.006721448590800381,True
KNNFairRankLocalCount,170.0,0.002139874381893373,0.017118995055146986,True
KNNFairRankOptVotes,221.0,0.01835416873306859,0.12847918113148013,False
KNNFairRankBayesian,271.0,0.09678481535416647,0.5807088921249988,False
KNNWeighted,283.0,0.13538882573328165,0.6769441286664082,False
KNNFairRankCV,201.0,0.23878336784992327,0.9551334713996931,False
SMOTE+KNN,309.0,0.37245191976639547,1.0,False
KNNFairRankTopoJoint,298.0,0.419599489772297,0.839198979544594,False
KNNFairRankJointCV,367.0,0.7482369509755721,0.7482369509755721,False
