algorithm,statistic,p_raw,p_corrected,significant
DANN,14.0,1.6007106751203537e-09,2.0809238776564598e-08,True
DANNAdaptive_entropy,27.0,1.5287839154473466e-06,1.8345406985368158e-05,True
KNNFairRankMagnitude,80.0,7.044568712371232e-05,0.0007749025583608355,True
KNNAdaptiveTopo,87.0,0.00011117961035765981,0.0011117961035765982,True
KNNOptK,129.0,0.0013508252535537715,0.012157427281983943,True
SMOTE+KNNOptK,130.0,0.0014264408234965801,0.011411526587972641,True
KNNAdaptiveDualAnchor,207.0,0.047756090854904176,0.33429263598432923,False
KNNAdaptiveEigen,212.0,0.05730468909396958,0.3438281345638175,False
KNNAdaptiveEntropy,250.0,0.19224117927860618,0.9612058963930309,False
KNNFairRankCV,189.0,0.2476009312007299,0.9904037248029196,False
KNNBaseline,270.0,0.3222883991095299,0.9668651973285897,False
KNNWeighted,281.0,0.4139570615736867,0.8279141231473734,False
SMOTE+KNN,284.0,0.611626271347183,0.611626271347183,False
