algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveEntropy,17.0,4.503005083235166e-07,4.953305591558683e-06,True
KNNAdaptiveEigen,15.0,5.854293740229917e-07,5.8542937402299175e-06,True
DANN,41.0,1.1143216742305756e-06,1.002889506807518e-05,True
DANNAdaptive_entropy,44.0,1.3761418800233554e-06,1.1009135040186843e-05,True
KNNAdaptiveDualAnchor,179.0,0.009257805034452329,0.06480463524116631,False
KNNBaseline,179.0,0.015544914736301025,0.09326948841780615,False
KNNAdaptiveTopo,143.0,0.26909461796905,1.0,False
KNNFairRankMagnitude,301.0,0.31349855414230476,1.0,False
KNNFairRank,311.0,0.3882004772051546,1.0,False
KNNFairRankCV,331.0,0.5667531078466261,1.0,False
SMOTE+KNN,380.0,0.8890155645931768,0.8890155645931768,False
