algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveEntropy,17.0,1.622108940021512e-06,2.1087416220279657e-05,True
KNNAdaptiveEigen,15.0,2.0963342436183463e-06,2.5156010923420156e-05,True
DANN,40.0,4.160514288483385e-06,4.5765657173317236e-05,True
DANNAdaptive_entropy,43.0,5.212038457195396e-06,5.212038457195396e-05,True
KNNAdaptiveDualAnchor,170.0,0.029271868860750973,0.26344681974675876,False
KNNBaseline,179.0,0.06974169414734332,0.5579335531787466,False
SMOTE+KNNOptK,231.0,0.1688686940629075,1.0,False
KNNFairRankMagnitude,247.0,0.26537283999764427,1.0,False
KNNAdaptiveTopo,143.0,0.26909461796905,1.0,False
KNNFairRank,258.0,0.3505045118554607,1.0,False
KNNFairRankCV,286.0,0.634790432838706,1.0,False
SMOTE+KNN,331.0,0.9749336743284315,1.0,False
KNNWeighted,332.0,0.9874652904648469,0.9874652904648469,False
