algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveEigen,3.0,2.1660708397295836e-07,2.5992850076755005e-06,True
KNNAdaptiveEntropy,10.0,2.5776898462299255e-07,2.8354588308529183e-06,True
DANN,46.0,1.5825473501063853e-06,1.5825473501063853e-05,True
SMOTE+KNN,46.0,1.5825473501063853e-06,1.4242926150957468e-05,True
DANNAdaptive_entropy,49.0,1.948878935752746e-06,1.5591031486021967e-05,True
KNNWeighted,58.0,3.6030126246331043e-06,2.522108837243173e-05,True
KNNFairRankCV,64.0,8.791333540413551e-06,5.274800124248131e-05,True
KNNFairRankMagnitude,78.0,2.216200042902333e-05,0.00011081000214511664,True
KNNFairRank,84.0,3.254270191877577e-05,0.00013017080767510308,True
KNNBaseline,90.0,0.0001347181152656081,0.00040415434579682433,True
KNNAdaptiveTopo,53.0,0.0010854025603301046,0.0021708051206602093,True
KNNAdaptiveDualAnchor,135.0,0.0010900860312951454,0.0010900860312951454,True
