algorithm,statistic,p_raw,p_corrected,significant
KNNFairRankTopoCount,145.0,0.0010744747340788944,0.015042646277104521,True
KNNFairRankDensityRegion,186.0,0.0044158381980095845,0.0574058965741246,False
KNNFairRankLocalCount,186.0,0.007458006961248678,0.08949608353498414,False
KNNWeighted,228.0,0.023777241730466296,0.2615496590351293,False
KNNFairRank,227.0,0.0374268990043922,0.374268990043922,False
KNNFairRankTopoJoint,262.0,0.11560380304776928,1.0,False
KNNAdaptiveTopo,139.0,0.14501397079599412,1.0,False
KNNFairRankOptVotes,293.0,0.17585291932352276,1.0,False
KNNFairRankJackknife,286.0,0.22040861954551505,1.0,False
KNNFairRankEnsemble,288.0,0.231525779869741,1.0,False
SMOTE+KNN,324.0,0.35703483622212195,1.0,False
KNNFairRankBayesian,314.0,0.5715734527455391,1.0,False
KNNFairRankJointCV,319.0,0.6239185944721397,1.0,False
KNNFairRankCV,360.0,0.8789709138832357,0.8789709138832357,False
