algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveEigen,11.0,1.2302440416979671e-07,1.3532684458677639e-06,True
KNNFairRankMagnitude,67.0,6.5606956455468935e-06,6.560695645546894e-05,True
KNNAdaptiveDualAnchor,74.0,1.0347600190568279e-05,9.312840171511451e-05,True
KNNFairRankCV,63.0,1.3465933156155082e-05,0.00010772746524924066,True
KNNAdaptiveEntropy,83.0,1.8341078384328097e-05,0.0001283875486902967,True
KNNAdaptiveTopo,58.0,0.00011716582923994501,0.0007029949754396701,True
SMOTE+KNN,114.0,0.00019935398816790459,0.0009967699408395228,True
DANN,148.0,0.00024816789118631277,0.000992671564745251,True
KNNFairRank,129.0,0.0002702607257632838,0.0008107821772898514,True
KNNBaseline,118.0,0.00042725886751768515,0.0008545177350353703,True
DANNAdaptive_entropy,249.0,0.04910778061550947,0.04910778061550947,True
