algorithm,statistic,p_raw,p_corrected,significant
DANNAdaptive_entropy,34.0,6.775735528208315e-09,8.130882633849978e-08,True
DANN,51.0,6.460686563514173e-08,7.10675521986559e-07,True
KNNAdaptiveEigen,100.0,5.1889453322970705e-05,0.000518894533229707,True
KNNAdaptiveEntropy,133.0,0.00033523026276224816,0.0030170723648602336,True
KNNFairRankCV,263.0,0.07634730378666967,0.6107784302933573,False
KNNFairRankMagnitude,277.0,0.11481513874158018,0.8037059711910612,False
KNNBaseline,281.0,0.12823605597613794,0.7694163358568276,False
KNNAdaptiveDualAnchor,286.0,0.14669083493768834,0.7334541746884417,False
KNNFairRank,290.0,0.16286517752772967,0.6514607101109187,False
KNNAdaptiveTopo,363.0,0.7063334306572764,1.0,False
KNNWeighted,366.0,0.7376854724154998,1.0,False
KNNOptK,380.0,0.8890155645931768,0.8890155645931768,False
