algorithm,statistic,p_raw,p_corrected,significant
KNNFairRankDensityRegion,80.0,2.5210032346772986e-05,0.0003781504852015948,True
KNNFairRankTopoCount,113.0,0.00011084621285702762,0.0015518469799983866,True
KNNFairRank,132.0,0.0003177408881417711,0.0041306315458430245,True
KNNFairRankOptVotes,196.0,0.0067839141974662355,0.08140697036959482,False
KNNWeighted,226.0,0.0221014606795395,0.2431160674749345,False
KNNFairRankJackknife,230.0,0.02556215826980778,0.2556215826980778,False
KNNFairRankTopoJoint,234.0,0.029482083943368934,0.26533875549032043,False
KNNFairRankEnsemble,248.0,0.04752294020313387,0.38018352162507096,False
KNNFairRankTopoJointBootstrap,264.0,0.07869142062760832,0.5508399443932582,False
KNNFairRankLocalCount,279.0,0.12138057368108758,0.7282834420865255,False
KNNFairRankJointCV,280.0,0.12477160295031961,0.6238580147515981,False
KNNFairRankBayesian,291.0,0.16711151489795728,0.6684460595918291,False
KNNFairRankCV,351.0,0.5862729450395985,1.0,False
KNNAdaptiveTopo,372.0,0.8016672445815889,1.0,False
KNNOptK,386.0,0.9554852087213584,0.9554852087213584,False
