algorithm,statistic,p_raw,p_corrected,significant
DANNAdaptive_entropy,34.0,5.420588422566652e-08,7.046764949336648e-07,True
DANN,43.0,1.8866558093577623e-07,2.263986971229315e-06,True
KNNAdaptiveEigen,100.0,0.00025166072266190505,0.0027682679492809555,True
KNNAdaptiveEntropy,132.0,0.001589506406969392,0.01589506406969392,True
SMOTE+KNNOptK,159.0,0.010614317351114747,0.09552885616003272,False
KNNFairRankCV,220.0,0.0758491959958067,0.6067935679664536,False
KNNFairRankMagnitude,223.0,0.08395896175017849,0.5877127322512494,False
KNNFairRank,235.0,0.12364902145322194,0.7418941287193317,False
KNNBaseline,249.0,0.18693910991387364,0.9346955495693682,False
KNNAdaptiveDualAnchor,254.0,0.2145557269592827,0.8582229078371308,False
KNNAdaptiveTopo,304.0,0.6486728437683009,1.0,False
KNNWeighted,306.0,0.671430517858312,1.0,False
KNNOptK,331.0,0.9749336743284315,0.9749336743284315,False
