algorithm,statistic,p_raw,p_corrected,significant
DANN,2.0,5.4569682106375694e-12,6.002665031701326e-11,True
DANNAdaptive_entropy,7.0,3.456079866737127e-11,3.4560798667371273e-10,True
KNNAdaptiveEigen,17.0,1.937729369048818e-07,1.7439564321439362e-06,True
KNNAdaptiveEntropy,21.0,2.613290881361878e-07,2.0906327050895025e-06,True
KNNBaseline,30.0,5.065919005638948e-07,3.546143303947264e-06,True
KNNOptK,46.0,1.5825473501063853e-06,9.495284100638312e-06,True
KNNAdaptiveTopo,54.0,2.747053505261904e-06,1.3735267526309519e-05,True
KNNAdaptiveDualAnchor,101.0,5.507059291793959e-05,0.00022028237167175837,True
KNNFairRankCV,225.0,0.021302786454192136,0.06390835936257641,False
KNNFairRank,288.0,0.15461739679262876,0.3092347935852575,False
KNNFairRankMagnitude,291.0,0.16711151489795728,0.16711151489795728,False
