algorithm,statistic,p_raw,p_corrected,significant
KNNFairRank,188.0,0.004818709017045311,0.04818709017045311,True
KNNFairRankEnsemble,213.0,0.013509997239986951,0.12158997515988257,False
KNNFairRankJointCV,233.0,0.028456520170869436,0.22765216136695549,False
KNNWeighted,242.0,0.03889087048045369,0.27223609336317584,False
KNNFairRankTopoJoint,264.0,0.07869142062760832,0.47214852376565,False
KNNFairRankOptVotes,271.0,0.09678481535416647,0.4839240767708324,False
KNNFairRankJackknife,288.0,0.15461739679262876,0.618469587170515,False
KNNFairRankCV,304.0,0.23008892553214522,0.6902667765964356,False
KNNOptK,324.0,0.35703483622212195,0.7140696724442439,False
KNNAdaptiveTopo,356.0,0.6351648366048743,0.6351648366048743,False
