algorithm,statistic,p_raw,p_corrected,significant
DANN,56.0,1.1634983820840716e-07,1.396198058500886e-06,True
KNNAdaptiveEigen,52.0,2.395955940768393e-06,2.6355515348452322e-05,True
KNNAdaptiveTopo,54.0,4.433091859772292e-06,4.4330918597722916e-05,True
DANNAdaptive_entropy,75.0,1.1035314882427277e-05,9.93178339418455e-05,True
KNNFairRankMagnitude,80.0,1.5180742262039378e-05,0.00012144593809631502,True
KNNAdaptiveEntropy,118.0,0.00014719217815439215,0.001030345247080745,True
KNNOptK,114.0,0.00019935398816790459,0.0011961239290074275,True
KNNAdaptiveDualAnchor,194.0,0.006234625012794835,0.031173125063974176,True
KNNFairRankCV,233.0,0.028456520170869436,0.11382608068347774,False
KNNBaseline,235.0,0.04940748399049308,0.14822245197147924,False
KNNFairRank,292.0,0.2549415403764369,0.5098830807528738,False
KNNWeighted,363.0,0.9133872450797261,0.9133872450797261,False
