algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveTopo,34.0,1.0607736075631979e-06,1.485083050588477e-05,True
KNNFairRankEnsemble,49.0,3.1241898199101946e-06,4.061446765883253e-05,True
KNNFairRankLocalCount,113.0,0.00011084621285702762,0.0013301545542843314,True
KNNOptK,121.0,0.0002965241648029851,0.0032617658128328364,True
KNNFairRankTopoCount,154.0,0.0016909629061514346,0.016909629061514345,True
KNNFairRankDensityRegion,182.0,0.006263107681825076,0.05636796913642568,False
KNNFairRankJackknife,189.0,0.008484313822872002,0.06787451058297601,False
KNNFairRankCV,225.0,0.021302786454192136,0.14911950517934494,False
KNNWeighted,240.0,0.05841814092052771,0.35050884552316625,False
KNNFairRankBayesian,273.0,0.1025247941818208,0.5126239709091039,False
KNNFairRank,309.0,0.37245191976639547,1.0,False
KNNFairRankTopoJoint,321.0,0.47284198191004256,1.0,False
KNNFairRankJointCV,322.0,0.481831196967895,0.96366239393579,False
KNNFairRankOptVotes,349.0,0.5672170285825553,0.5672170285825553,False
