algorithm,statistic,p_raw,p_corrected,significant
DANN,50.0,4.55416738986969e-07,5.920417606830597e-06,True
KNNAdaptiveEigen,52.0,1.0116346411886599e-05,0.00012139615694263918,True
KNNAdaptiveTopo,54.0,1.9117477437195678e-05,0.00021029225180915247,True
DANNAdaptive_entropy,67.0,2.9277703999090283e-05,0.0002927770399909028,True
KNNFairRankMagnitude,80.0,7.044568712371232e-05,0.0006340111841134109,True
KNNAdaptiveEntropy,117.0,0.0006900954319131517,0.005520763455305213,True
KNNOptK,111.0,0.0008337350354222429,0.0058361452479557,True
SMOTE+KNNOptK,157.0,0.009656172245624926,0.05793703347374955,False
KNNAdaptiveDualAnchor,187.0,0.021805211234037145,0.10902605617018572,False
KNNFairRankCV,228.0,0.09902265313360177,0.3960906125344071,False
KNNBaseline,225.0,0.14044851248225562,0.42134553744676684,False
KNNFairRank,284.0,0.611626271347183,1.0,False
KNNWeighted,296.0,0.7556457578405196,0.7556457578405196,False
