algorithm,statistic,p_raw,p_corrected,significant
KNNAdaptiveEntropy,17.0,4.503005083235166e-07,5.4036060998822e-06,True
KNNAdaptiveEigen,15.0,5.854293740229917e-07,6.439723114252909e-06,True
DANN,41.0,1.1143216742305756e-06,1.1143216742305755e-05,True
DANNAdaptive_entropy,44.0,1.3761418800233554e-06,1.2385276920210198e-05,True
KNNAdaptiveDualAnchor,179.0,0.009257805034452329,0.07406244027561863,False
KNNBaseline,179.0,0.015544914736301025,0.10881440315410718,False
KNNAdaptiveTopo,143.0,0.26909461796905,1.0,False
KNNFairRank_B,301.0,0.31349855414230476,1.0,False
KNNFairRank_A,309.0,0.37245191976639547,1.0,False
KNNFairRank_AB,310.0,0.3802761034138854,1.0,False
KNNFairRank_v3,311.0,0.3882004772051546,0.7764009544103092,False
SMOTE+KNN,380.0,0.8890155645931768,0.8890155645931768,False
